"ｺｰﾄﾞ","勘定科目名"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"
"4111","売上高","18,197,206","18,137,721","16,042,232","17,459,219","18,413,889","18,097,566","23,764,274","18,027,263","19,903,348","21,860,068","19,629,357","24,520,439"
"4112","賃貸料収入","250,000","250,000","250,000","250,000","250,000","250,000","250,000","0","250,000","250,000","250,000","250,000"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","18,447,206","18,387,721","16,292,232","17,709,219","18,663,889","18,347,566","24,014,274","18,027,263","20,153,348","22,110,068","19,879,357","24,770,439"
"5111","期首棚卸高","3,881,736","3,774,915","3,538,177","3,744,269","3,359,193","3,300,010","3,682,447","3,711,377","3,711,088","3,522,724","3,369,663","3,602,579"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","151,350","0","0"
"5212","通信商品仕入高","13,091,122","13,171,521","11,123,624","12,404,180","13,237,881","13,574,728","19,028,461","13,594,016","14,818,170","16,635,559","14,553,722","17,986,919"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","3,774,915","3,538,177","3,744,269","3,359,193","3,300,010","3,682,447","3,711,377","3,711,088","3,522,724","3,369,663","3,602,579","3,536,607"
,"当期売上原価","13,197,943","13,408,259","10,917,532","12,789,256","13,297,064","13,192,291","18,999,531","13,594,305","15,006,534","16,939,970","14,320,806","18,052,891"
,"売上総利益","5,249,263","4,979,462","5,374,700","4,919,963","5,366,825","5,155,275","5,014,743","4,432,958","5,146,814","5,170,098","5,558,551","6,717,548"
"6111","給与手当","2,314,087","2,315,423","2,290,332","2,247,357","2,371,423","2,313,645","2,190,333","2,415,089","2,263,512","2,138,728","2,206,707","2,320,245"
"6311","雑給","523,935","544,925","564,800","532,750","572,675","433,900","405,600","395,925","422,388","422,625","405,272","421,050"
"6112","旅費交通費","88,072","92,215","88,555","72,957","72,515","58,080","59,617","41,441","43,735","44,217","40,009","45,990"
"6113","広告宣伝費","44,365","68,400","81,727","110,595","60,818","98,600","74,009","96,736","92,637","126,387","90,477","82,409"
"6114","販売促進費","83,560","20,200","44,291","75,064","19,878","30,208","49,817","18,719","15,524","25,992","19,324","73,853"
"6115","荷造発送費","640","1,260","0","0","2,270","0","840","0","0","0","840","0"
"6116","外注費","150,000","0","0","0","0","0","0","0","0","58,436","300,545","136,000"
"6117","支払手数料","369,715","481,414","393,742","602,863","357,988","452,971","455,399","379,363","424,860","580,837","542,207","408,518"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","331,250","331,250","331,250","331,250","0","-1,045,000","0","-280,000","0","0","0","140,000"
"6312","法定福利費","396,522","396,522","396,522","426,310","426,310","382,121","320,801","320,801","320,801","351,960","368,772","361,049"
"6226","厚生費","0","0","0","0","0","2,727","0","26,532","0","0","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","214,008","214,008","214,008","214,008","214,008","214,100","211,804","211,804","211,804","211,804","211,804","211,804"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000"
"6216","修繕／車両関係費","0","0","0","0","0","0","40,000","5,000","5,000","14,000","5,000","5,000"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","2,212","2,212","6,735","6,107","9,814","2,212","5,212","2,212","2,212","2,212","2,212","2,212"
"6219","水道光熱費","108,331","87,054","83,418","102,000","121,113","153,692","140,766","118,535","101,802","121,479","129,309","126,370"
"6221","租税公課","1,000","2,000","0","1,000","2,000","0","2,000","0","0","0","0","2,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","5,000","5,000","5,000","5,000","5,000","10,000","5,000","5,000","5,000","5,000","5,000","5,000"
"6225","備品消耗品費","20,340","39,826","41,525","29,171","34,973","41,961","39,318","40,721","39,728","16,458","26,900","15,271"
"6227","管理諸費","18,367","65,376","18,367","18,367","29,576","18,367","25,376","18,367","18,762","18,367","25,376","21,167"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","10,000","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","5,271,404","5,277,085","5,160,272","5,374,799","4,900,361","3,767,584","4,625,892","4,416,245","4,567,765","4,738,502","4,979,754","4,977,938"
,"営業利益（損失）","-22,141","-297,623","214,428","-454,836","466,464","1,387,691","388,851","16,713","579,049","431,596","578,797","1,739,610"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","-22,141","-297,623","214,428","-454,836","466,464","1,387,691","388,851","16,713","579,049","431,596","578,797","1,739,610"
