"ｺｰﾄﾞ","勘定科目名","30年  2月","30年  3月","30年  4月","30年  5月","30年  6月","30年  7月","30年  8月","30年  9月","30年 10月","30年 11月","30年 12月","31年  1月"
"4111","売上高","18,195,609","24,843,739","20,021,844","18,980,338","21,686,583","22,555,422","24,322,232","18,756,553","20,893,831","20,125,264","25,173,787","20,751,225"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","18,195,609","24,843,739","20,021,844","18,980,338","21,686,583","22,555,422","24,322,232","18,756,553","20,893,831","20,125,264","25,173,787","20,751,225"
"5111","期首たな卸高","2,501,792","1,782,297","2,107,067","2,264,738","2,189,127","2,420,091","2,313,636","2,553,522","2,591,722","2,440,132","2,595,258","5,073,593"
"5211","商品仕入高","7,211,835","10,371,006","8,192,426","7,965,839","9,041,989","9,384,683","10,193,660","8,607,901","9,206,026","9,289,704","13,812,333","6,799,079"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,782,297","2,107,067","2,264,738","2,189,127","2,420,091","2,313,636","2,553,522","2,591,722","2,440,132","2,595,258","5,073,593","2,369,384"
,"当期売上原価","7,931,330","10,046,236","8,034,755","8,041,450","8,811,025","9,491,138","9,953,774","8,569,701","9,357,616","9,134,578","11,333,998","9,503,288"
,"売上総利益","10,264,279","14,797,503","11,987,089","10,938,888","12,875,558","13,064,284","14,368,458","10,186,852","11,536,215","10,990,686","13,839,789","11,247,937"
"6111","給与手当","1,450,507","1,200,500","1,349,500","1,236,591","1,250,234","1,132,266","1,193,016","1,403,932","1,418,943","1,640,548","1,605,675","1,537,208"
"6311","雑給","2,673,069","3,445,002","3,085,327","3,107,827","2,713,817","2,758,151","3,473,100","2,713,468","2,719,099","2,587,788","3,062,104","2,617,442"
"6112","旅費交通費","73,460","93,761","102,646","106,316","106,602","122,609","117,860","174,463","89,148","107,599","138,781","152,911"
"6113","広告宣伝費","1,215,710","1,560,596","1,304,071","1,485,943","1,178,257","1,158,648","1,146,779","1,308,910","1,306,660","1,102,449","1,255,350","1,006,623"
"6114","販売促進費","101,682","106,926","47,740","39,011","45,077","29,811","42,500","42,728","60,848","68,777","72,071","40,406"
"6115","荷造発送費","700","700","500","0","1,900","700","1,252","700","0","0","2,032","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","671,473","766,908","650,504","866,622","801,003","717,266","842,858","845,528","797,158","793,731","751,675","682,765"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","50,000","50,000","50,000","50,000","235,895","50,000","50,000","50,000","0","0","65,228","12,000"
"6312","法定福利費","310,309","282,239","240,743","296,006","352,128","299,690","285,655","339,145","370,022","370,022","414,926","344,759"
"6226","厚生費","224,722","98,373","182,005","155,820","405,294","144,455","311,205","487,464","277,645","272,478","350,433","532,579"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","1,195,795","1,195,795","1,195,795","1,195,795","1,195,795","1,195,795","1,195,795","596,027","765,792","765,792","765,792","765,792"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,228,628","1,228,628","1,228,628","1,228,628","1,228,628","1,228,628","1,228,628","1,228,628","1,228,628","1,228,628","1,228,628","1,228,628"
"6216","修繕／車両関係費","70,796","157,000","129,630","95,370","125,463","149,537","96,759","68,511","248,148","168,334","165,926","29,352"
"6217","事務用消耗品費","0","97","1,988","1,669","1,806","2,185","0","461","0","0","0","0"
"6218","通信交通費","20,632","4,647","18,088","17,988","4,501","34,103","22,222","21,651","19,316","23,029","9,835","37,656"
"6219","水道光熱費","716,025","1,110,318","638,402","1,023,490","575,741","969,834","646,458","1,224,536","676,353","995,340","597,135","1,087,935"
"6221","租税公課","2,000","10,000","4,000","6,000","4,000","6,000","4,000","4,000","4,000","2,000","6,000","2,000"
"6222","寄付金","0","0","0","0","0","0","6,667","0","0","5,000","0","0"
"6223","接待交際費","0","3,000","0","0","0","0","0","0","0","5,000","0","0"
"6224","保険料","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","52,462","50,000","50,000","50,000"
"6225","備品消耗品費","282,434","548,726","536,172","381,962","477,527","613,296","439,233","874,634","709,109","584,444","798,089","451,098"
"6227","管理諸費","249,372","238,235","330,770","300,654","952,980","269,958","344,043","306,248","272,210","238,410","229,030","231,030"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","10,587,314","12,151,451","11,146,509","11,645,692","11,706,648","10,932,932","11,498,030","11,741,034","11,015,541","11,009,369","11,568,710","10,810,184"
,"営業利益（損失）","-323,035","2,646,052","840,580","-706,804","1,168,910","2,131,352","2,870,428","-1,554,182","520,674","-18,683","2,271,079","437,753"
"7111","受取利息","23","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","23","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","-251","0","0","0","0","42","0","0","0","-400","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","200,000","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","-251","0","0","0","0","42","200,000","0","0","-400","0"
,"経常利益（損失）","-323,012","2,646,303","840,580","-706,804","1,168,910","2,131,352","2,870,386","-1,754,182","520,674","-18,683","2,271,479","437,753"
