"ｺｰﾄﾞ","勘定科目名"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"
"4111","売上高","0","0","0","0","0","0","0","0","0","0","0","6,836,426"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","0","0","0","6,836,426"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","700,309"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","561,830"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","2,217,927"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","0","0","0","2,356,406"
,"売上総利益","0","0","0","0","0","0","0","0","0","0","0","4,480,020"
"6111","給与手当","0","0","0","0","0","0","0","0","0","0","0","816,200"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","1,418,139"
"6112","旅費交通費","0","0","0","0","0","0","0","0","0","0","0","120,021"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","0","0","43,709"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","0","47,258"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","592"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","0","0","0","0","0","0","0","0","144,535"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","38,666"
"6312","法定福利費","0","0","0","0","0","0","0","0","0","0","0","165,593"
"6226","厚生費","0","0","0","0","0","0","0","0","0","0","0","83,333"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","0","0","104,883"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","0","0","650,000"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","0","0","0","0"
"6219","水道光熱費","0","0","0","0","0","0","0","0","0","0","0","442,160"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","0","0"
"6225","備品消耗品費","0","0","0","0","0","0","0","0","0","0","0","117,175"
"6227","管理諸費","0","0","0","0","0","0","0","0","0","0","0","20,740"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","10,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","0","0","0","0","0","4,223,004"
,"営業利益（損失）","0","0","0","0","0","0","0","0","0","0","0","257,016"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","0","0","0","0","0","0","0","257,016"
