"ｺｰﾄﾞ","勘定科目名"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"
"4111","売上高","15,373,685","16,431,451","17,637,692","11,313,760","10,519,436","12,890,919","10,391,254","10,224,136","8,708,811","11,122,329","6,852,649","6,001,192"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","15,373,685","16,431,451","17,637,692","11,313,760","10,519,436","12,890,919","10,391,254","10,224,136","8,708,811","11,122,329","6,852,649","6,001,192"
"5111","期首棚卸高","8,023,874","6,385,746","10,008,596","10,974,666","9,596,034","8,425,259","9,408,139","9,061,982","9,977,405","9,908,029","9,412,805","8,888,902"
"5211","商品仕入高","3,606,056","8,792,580","8,364,962","2,413,679","2,380,223","5,655,943","3,723,373","4,728,061","3,195,955","3,697,938","1,864,709","569,216"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","6,385,746","10,008,596","10,974,666","9,596,034","8,425,259","9,408,139","9,061,982","9,977,405","9,908,029","9,412,805","8,888,902","7,412,680"
,"当期売上原価","5,244,184","5,169,730","7,398,892","3,792,311","3,550,998","4,673,063","4,069,530","3,812,638","3,265,331","4,193,162","2,388,612","2,045,438"
,"売上総利益","10,129,501","11,261,721","10,238,800","7,521,449","6,968,438","8,217,856","6,321,724","6,411,498","5,443,480","6,929,167","4,464,037","3,955,754"
"6111","給与手当","1,352,000","1,859,400","1,871,400","1,744,565","1,700,400","1,889,183","1,763,400","1,786,400","1,506,000","1,348,400","1,553,898","1,791,783"
"6311","雑給","2,904,397","2,495,804","2,244,284","1,977,184","1,783,234","2,118,427","1,884,343","1,726,453","1,540,952","2,033,878","1,718,620","1,530,806"
"6112","旅費交通費","90,367","116,706","115,472","110,673","95,546","118,990","98,590","110,223","115,325","123,834","93,748","85,383"
"6113","広告宣伝費","539,097","613,541","830,420","459,368","688,329","705,691","677,418","521,276","590,006","758,021","360,378","417,804"
"6114","販売促進費","153,634","325,112","311,001","216,433","206,884","285,713","441,408","280,989","298,398","177,748","161,071","183,646"
"6115","荷造発送費","0","1,500","17,600","0","3,055","14,900","0","0","1,500","3,700","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","407,889","381,987","400,170","314,447","282,118","403,068","348,916","289,962","255,608","293,672","232,107","199,178"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","237,500","0","0","0","0","0","85,000","0","0","0"
"6312","法定福利費","401,155","401,155","484,947","370,721","440,607","469,889","440,549","440,549","467,807","408,529","408,529","387,260"
"6226","厚生費","78,676","117,838","5,000","59,063","11,662","33,175","33,497","24,797","102,380","25,300","0","53,960"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","173,683","173,683","173,683","173,683","173,683","173,683","173,683","173,683","173,683","173,683","173,683","415,968"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000"
"6216","修繕／車両関係費","55,000","11,000","0","0","0","0","39,811","181,400","109,500","169,182","50,000","0"
"6217","事務用消耗品費","30,549","7,670","22,997","32,704","13,920","22,670","25,781","11,109","20,817","19,020","14,863","7,150"
"6218","通信交通費","11,548","11,323","9,660","13,943","19,833","8,177","13,426","14,661","8,302","26,837","8,290","22,515"
"6219","水道光熱費","386,879","456,292","259,946","499,480","313,718","437,788","347,392","421,026","272,317","452,385","436,352","543,645"
"6221","租税公課","5,000","0","10,150","0","0","0","0","5,000","0","0","0","1,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","4,509","0","0","0","0","0","0","0","0"
"6224","保険料","38,891","38,891","38,891","38,891","38,891","38,891","38,891","38,891","38,891","38,891","38,891","68,891"
"6225","備品消耗品費","585,952","658,964","973,903","380,812","428,162","1,308,487","614,970","529,519","869,639","581,107","517,825","259,405"
"6227","管理諸費","217,364","151,046","332,380","415,040","256,572","251,518","217,896","282,631","280,943","292,582","224,200","240,375"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","7,000","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","7,982,081","8,371,912","8,889,404","7,361,516","7,006,614","8,830,250","7,716,971","7,388,569","7,287,068","7,476,769","6,542,455","6,758,769"
,"営業利益（損失）","2,147,420","2,889,809","1,349,396","159,933","-38,176","-612,394","-1,395,247","-977,071","-1,843,588","-547,602","-2,078,418","-2,803,015"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","19,358","20,535","19,245","21,005","17,760","0","20,949","22,381","23,571","23,293","23,023","18,840"
,"営業外収益計","19,358","20,535","19,245","21,005","17,760","0","20,949","22,381","23,571","23,293","23,023","18,840"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","-450","450","0","0","0","0","0","798","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","-450","450","0","0","0","0","0","798","0","0","0"
,"経常利益（損失）","2,166,778","2,910,794","1,368,191","180,938","-20,416","-612,394","-1,374,298","-954,690","-1,820,815","-524,309","-2,055,395","-2,784,175"
