"ｺｰﾄﾞ","勘定科目名"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"
"4111","売上高","12,731,465","12,746,830","16,507,703","19,440,594","22,672,494","13,769,041","10,462,125","14,420,721","12,538,129","12,438,093","11,505,939","12,198,966"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","12,731,465","12,746,830","16,507,703","19,440,594","22,672,494","13,769,041","10,462,125","14,420,721","12,538,129","12,438,093","11,505,939","12,198,966"
"5111","期首たな卸高","10,905,265","9,548,273","8,428,015","6,215,480","7,874,200","8,938,970","7,423,851","5,961,626","5,939,625","6,030,081","6,264,240","6,511,257"
"5211","商品仕入高","2,757,974","3,011,991","3,396,596","7,912,793","10,255,049","2,800,517","1,928,426","5,171,491","4,753,474","4,657,061","4,319,443","4,331,600"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","9,548,273","8,428,015","6,215,480","7,874,200","8,938,970","7,423,851","5,961,626","5,939,625","6,030,081","6,264,240","6,511,257","6,455,078"
,"当期売上原価","4,114,966","4,132,249","5,609,131","6,254,073","9,190,279","4,315,636","3,390,651","5,193,492","4,663,018","4,422,902","4,072,426","4,387,779"
,"売上総利益","8,616,499","8,614,581","10,898,572","13,186,521","13,482,215","9,453,405","7,071,474","9,227,229","7,875,111","8,015,191","7,433,513","7,811,187"
"6111","給与手当","2,518,190","2,770,161","2,867,806","2,361,500","2,366,500","2,311,500","2,351,500","2,286,500","2,311,500","2,316,500","2,306,500","2,296,546"
"6311","雑給","1,892,202","2,072,564","2,204,834","2,408,549","2,542,153","2,005,897","1,693,490","2,083,648","1,955,880","1,681,723","1,482,243","1,697,904"
"6112","旅費交通費","105,510","152,180","177,967","114,146","137,891","134,010","112,616","141,524","109,239","115,138","112,944","114,448"
"6113","広告宣伝費","890,865","1,038,819","887,844","1,127,518","1,296,798","778,838","755,505","864,476","1,245,403","711,695","722,437","778,208"
"6114","販売促進費","24,638","187,058","59,118","361,748","305,729","107,482","190,760","245,124","636,565","249,024","191,613","185,673"
"6115","荷造発送費","0","1,480","1,480","5,180","18,620","3,660","2,920","0","0","0","6,000","1,500"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","338,655","371,665","489,224","482,842","543,830","381,610","265,713","374,378","369,450","326,542","362,327","428,296"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","467,500","0","0","0","0","0","165,000","0"
"6312","法定福利費","536,080","476,803","491,576","491,576","487,300","437,178","445,418","445,364","433,035","433,035","442,220","409,097"
"6226","厚生費","2,286","80,177","42,308","114,209","17,695","22,907","0","26,615","66,789","10,665","91,364","28,480"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","198,155","307,314","206,217","206,217","206,217","206,217","206,217","206,217","206,217","206,217","206,217","206,217"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,930,000","1,930,000","1,930,000","1,930,000","1,930,000","1,930,000","1,930,000","1,930,000","1,930,000","1,930,000","1,930,000","1,930,000"
"6216","修繕／車両関係費","74,500","34,900","141,745","160,700","86,000","373,315","586,727","0","188,412","33,000","23,000","2,220,782"
"6217","事務用消耗品費","0","0","0","7,807","0","2,136","0","214","4,250","395","0","4,105"
"6218","通信交通費","23,252","29,526","15,476","18,586","15,747","15,623","23,226","31,343","3,903","23,010","22,631","15,984"
"6219","水道光熱費","510,748","677,064","489,667","492,879","392,716","614,851","507,387","500,334","404,241","475,568","418,146","522,196"
"6221","租税公課","2,000","2,000","2,000","1,000","3,000","2,000","0","3,000","2,000","3,000","2,000","3,000"
"6222","寄付金","20,000","0","0","0","0","0","0","0","20,000","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
"6225","備品消耗品費","535,016","916,731","477,636","384,604","569,274","396,122","467,257","1,116,179","627,779","612,387","651,413","501,980"
"6227","管理諸費","246,752","221,269","264,055","336,611","430,832","494,130","315,153","388,302","377,436","503,637","352,333","369,077"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","20,000","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","3,216","0","0","1,078"
,"販売費及び一般管理費計","9,878,849","11,299,711","10,798,953","11,035,672","11,847,802","10,247,476","9,883,889","10,673,218","10,925,315","9,661,536","9,518,388","11,744,571"
,"営業利益（損失）","-1,262,350","-2,685,130","99,619","2,150,849","1,634,413","-794,071","-2,812,415","-1,445,989","-3,050,204","-1,646,345","-2,084,875","-3,933,384"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","4,430","4,791","3,694","4,345","3,651","7,665","3,610","3,109","4,428","3,222","4,985","3,331"
,"営業外収益計","4,430","4,791","3,694","4,345","3,651","7,665","3,610","3,109","4,428","3,222","4,985","3,331"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","-1,257,920","-2,680,339","103,313","2,155,194","1,638,064","-786,406","-2,808,805","-1,442,880","-3,045,776","-1,643,123","-2,079,890","-3,930,053"
