"ｺｰﾄﾞ","勘定科目名"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"
"4111","売上高","19,396,699","15,759,638","13,388,972","13,316,061","3,140,126","3,782,259","6,593,069","7,947,462","8,192,181","8,235,455","11,413,443","10,847,880"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","19,396,699","15,759,638","13,388,972","13,316,061","3,140,126","3,782,259","6,593,069","7,947,462","8,192,181","8,235,455","11,413,443","10,847,880"
"5111","期首たな卸高","1,167,646","1,756,418","984,271","877,474","969,947","768,464","662,665","851,495","777,071","872,811","898,449","909,785"
"5211","商品仕入高","7,311,269","4,618,967","4,716,782","4,655,739","1,042,058","1,405,223","2,551,118","2,920,528","2,876,052","3,053,914","4,040,536","3,625,167"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,756,418","984,271","877,474","969,947","768,464","662,665","851,495","777,071","872,811","898,449","909,785","748,375"
,"当期売上原価","6,722,497","5,391,114","4,823,579","4,563,266","1,243,541","1,511,022","2,362,288","2,994,952","2,780,312","3,028,276","4,029,200","3,786,577"
,"売上総利益","12,674,202","10,368,524","8,565,393","8,752,795","1,896,585","2,271,237","4,230,781","4,952,510","5,411,869","5,207,179","7,384,243","7,061,303"
"6111","給与手当","1,163,000","1,151,500","985,000","943,000","945,755","979,975","994,809","1,003,182","1,011,516","978,180","1,055,168","1,371,500"
"6311","雑給","2,596,082","2,327,704","2,271,333","2,158,568","1,641,975","1,400,875","1,524,782","1,573,572","1,443,442","1,609,938","1,735,361","1,467,938"
"6112","旅費交通費","60,573","59,576","45,998","57,265","43,224","28,518","52,317","73,597","67,950","71,723","75,587","75,176"
"6113","広告宣伝費","1,074,931","970,726","960,433","920,672","300,236","293,581","501,520","360,471","489,218","382,407","754,740","869,841"
"6114","販売促進費","66,897","70,641","96,477","74,693","18,963","21,105","22,367","22,468","25,637","29,322","31,026","57,838"
"6115","荷造発送費","611","0","338","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","338,472","195,083","214,238","209,156","152,321","144,660","146,236","173,796","173,172","162,377","188,631","213,923"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","239,372","48,000","48,000","48,000","0","0","0","0","0","0","0","0"
"6312","法定福利費","174,503","141,825","113,772","116,508","147,341","147,341","143,912","138,469","141,735","163,778","171,637","171,637"
"6226","厚生費","158,959","159,944","186,920","5,000","-4,182","0","0","9,873","5,000","2,163","3,436","24,727"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","169,132","169,132","169,132","169,132","169,132","169,132","169,132","169,132","169,132","184,553","145,361","145,361"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","463,740","463,740","463,740","463,740","370,992","370,992","370,992","463,740","463,740","463,740","463,740","463,740"
"6216","修繕／車両関係費","110,000","118,760","318,500","11,000","0","0","193,000","0","15,500","38,000","0","44,000"
"6217","事務用消耗品費","4,877","11,212","15,212","2,847","545","0","0","7,044","16,425","2,260","0","0"
"6218","通信交通費","2,856","2,932","2,703","2,703","2,703","2,703","2,703","2,779","3,281","2,703","3,337","2,703"
"6219","水道光熱費","465,375","350,812","532,611","321,321","439,501","242,733","253,678","212,828","357,718","614,043","455,559","307,325"
"6221","租税公課","6,000","1,000","4,000","0","0","0","0","1,000","0","1,000","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","20,000","0"
"6224","保険料","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","874,723","558,245","542,270","394,446","256,188","180,121","464,718","409,786","617,315","377,954","442,792","569,378"
"6227","管理諸費","130,877","105,972","118,587","100,434","56,001","21,674","135,249","23,634","44,489","33,534","84,422","37,349"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","200","0","0","0","0","0","0","0","4,213","9,910","0"
,"販売費及び一般管理費計","8,125,980","6,932,004","7,114,264","6,023,485","4,565,695","4,028,410","5,000,415","4,670,371","5,070,270","5,146,888","5,665,707","5,847,436"
,"営業利益（損失）","4,548,222","3,436,520","1,451,129","2,729,310","-2,669,110","-1,757,173","-769,634","282,139","341,599","60,291","1,718,536","1,213,867"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","200","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","183,333","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","183,533","0","0"
,"経常利益（損失）","4,548,222","3,436,520","1,451,129","2,729,310","-2,669,110","-1,757,173","-769,634","282,139","341,599","-123,242","1,718,536","1,213,867"
